Activity Type,Date,Month,Distance,Calories,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Avg Bike Cadence,Max Bike Cadence,Normalized Power? (NP?),Max Avg Power (20 min),Avg Power,Max Power
Virtual Cycling,2021/3/1,2021-03,20.42,479,137,158,19.6,84.1,453,81,142,142,140,133,442
Virtual Cycling,2021/2/26,2021-02,28.27,414,139,160,32,49.8,133,80,131,147,154,136,402
Virtual Cycling,2021/2/21,2021-02,11.76,161,122,165,28.1,46.2,23,64,93,158,124,112,291
Virtual Cycling,2021/1/27,2021-01,12.17,208,120,159,24.4,60.7,117,62,106,169,158,125,463
Virtual Cycling,2021/1/25,2021-01,13.69,234,120,155,26.9,59.8,70,63,121,159,159,135,303
Virtual Cycling,2021/1/19,2021-01,31.02,433,127,151,29.3,50.7,186,85,116,122,127,119,204
Virtual Cycling,2021/1/16,2021-01,24.81,336,126,144,29,57.7,120,85,112,116,118,114,166
Virtual Cycling,2021/1/14,2021-01,23.15,532,140,166,21.9,82.1,492,77,135,156,161,146,446
Virtual Cycling,2021/1/11,2021-01,22.48,448,153,0,23.8,85.9,416,81,102,148,156,138,257
Virtual Cycling,2021/1/7,2021-01,21.46,444,152,0,23,71.4,474,61,94,163,179,138,339
Virtual Cycling,2021/1/5,2021-01,32.97,468,146,0,30.5,51.6,150,76,117,145,144,126,369
Virtual Cycling,2020/12/31,2020-12,15.04,275,144,0,22.4,72.9,260,76,127,146,135,119,406
Virtual Cycling,2020/12/29,2020-12,17.47,397,147,0,17.7,80.4,428,70,120,152,139,119,405
Virtual Cycling,2020/12/27,2020-12,22.05,405,130,0,22,82.1,397,81,135,126,131,117,266
Virtual Cycling,2020/12/12,2020-12,29.63,451,143,0,30.1,53,79,67,130,146,151,127,464
