TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF FEB 26, 2018 (B)",Adidas : Athleticwear & Sneakers Men,0.5,0,0.5,0,0,0,0,0,0,0,0
"WEEK OF FEB 26, 2018 (B)",Adidas : Sportswear Women,347.3,0,0,0,0,0,347.3,0,0,0,0
"WEEK OF FEB 26, 2018 (B)",ADIDAS FACTORY OUTLET : Family,0.8,0,0,0,0,0,0,0,0,0.8,0
"WEEK OF MAR 05, 2018 (B)",Adidas : Apparel & Misc Team Sport Equipment,1.6,0,1.6,0,0,0,0,0,0,0,0
"WEEK OF MAR 05, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,11.9,0,11.9,0,0,0,0,0,0,0,0
"WEEK OF MAR 05, 2018 (B)",Adidas : Sportswear Men & Women,92.6,0,92.6,0,0,0,0,0,0,0,0
"WEEK OF MAR 05, 2018 (B)",ADIDAS FACTORY OUTLET : Family,1.5,0,0,0,0,0,0,0,0,1.5,0
"WEEK OF MAR 05, 2018 (B)",Adidas Outlet Store : Apparel Retailer,0.9,0,0,0,0,0,0,0.9,0,0,0
"WEEK OF MAR 12, 2018 (B)",Adidas : Apparel & Misc Team Sport Equipment,459.9,459.9,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 12, 2018 (B)",Adidas : Athleticwear & Sneakers Men & Women,552,552,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 12, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,1523.2,1014.5,503.9,0,0,0,0,4.8,0,0,0
"WEEK OF MAR 12, 2018 (B)",Adidas : Sneakers Men,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 12, 2018 (B)",Adidas : Sportswear Men & Women,842.8,0,842.8,0,0,0,0,0,0,0,0
"WEEK OF MAR 12, 2018 (B)",Adidas Clothing Store : Men & Women,0.7,0,0,0,0,0,0,0.7,0,0,0
"WEEK OF MAR 12, 2018 (B)",ADIDAS FACTORY OUTLET : Family,1.5,0,0,0,0,0,0,0,0,1.5,0
"WEEK OF MAR 12, 2018 (B)",Adidas Shoe Store : Men & Women,0.7,0,0,0,0,0,0,0.7,0,0,0
"WEEK OF MAR 12, 2018 (B)",Adidas Warehouse : Men & Women,2.8,0,0,0,0,0,0,2.8,0,0,0
"WEEK OF MAR 19, 2018 (B)",Adidas : Apparel,20.4,0,0,20.4,0,0,0,0,0,0,0
"WEEK OF MAR 19, 2018 (B)",Adidas : Apparel & Misc Team Sport Equipment,35.8,0,0,35.8,0,0,0,0,0,0,0
"WEEK OF MAR 19, 2018 (B)",Adidas : Athleticwear & Sneakers Men & Women,2,0,2,0,0,0,0,0,0,0,0
"WEEK OF MAR 19, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,102.5,0,102.5,0,0,0,0,0,0,0,0
"WEEK OF MAR 19, 2018 (B)",Adidas : Sportswear Men & Women,124.7,0,124.7,0,0,0,0,0,0,0,0
"WEEK OF MAR 19, 2018 (B)",ADIDAS FACTORY OUTLET : Family,1.5,0,0,0,0,0,0,0,0,1.5,0
"WEEK OF MAR 26, 2018 (B)",Adidas : Athleticwear & Sneakers Men & Women,0.1,0,0.1,0,0,0,0,0,0,0,0
"WEEK OF MAR 26, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,111.6,0,111.6,0,0,0,0,0,0,0,0
"WEEK OF MAR 26, 2018 (B)",Adidas : Sneakers & Sportswear Women,34.2,0,34.2,0,0,0,0,0,0,0,0
"WEEK OF MAR 26, 2018 (B)",Adidas : Sportswear Men & Women,144,0,144,0,0,0,0,0,0,0,0
"WEEK OF MAR 26, 2018 (B)",ADIDAS FACTORY OUTLET : Family,1.3,0,0,0,0,0,0,0,0,1.3,0
"WEEK OF APR 16, 2018 (B)",Adidas : Sneakers Men,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF APR 16, 2018 (B)",Adidas Corporate Promotion & Woolmark Corporate Promotion : Combo,27.5,0,0,0,0,0,0,27.5,0,0,0
"WEEK OF APR 23, 2018 (B)",Big 3 Championship Game/Adidas : Sponsored Event,81.7,81,0.7,0,0,0,0,0,0,0,0
"WEEK OF APR 30, 2018 (B)",ADIDAS AMERICA STORE,4.6,0,0,0,0,0,0,0,0,0,4.6
"WEEK OF APR 30, 2018 (B)",ADIDAS FACTORY OUTLET : Family,1.2,0,0,0,0,0,0,0,0,1.2,0
"WEEK OF MAY 07, 2018 (B)",Adidas : Sportswear Men & Women,1.3,0,1.3,0,0,0,0,0,0,0,0
"WEEK OF MAY 07, 2018 (B)",ADIDAS FACTORY OUTLET : Family,1.4,0,0,0,0,0,0,0,0,1.4,0
"WEEK OF MAY 14, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,6.8,5.2,1.6,0,0,0,0,0,0,0,0
"WEEK OF MAY 14, 2018 (B)",Adidas : Sneakers Men,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 14, 2018 (B)",Adidas Clothing Store : Men & Women,1,0,0,0,0,0,0,1,0,0,0
"WEEK OF MAY 14, 2018 (B)",ADIDAS FACTORY OUTLET : Family,1.4,0,0,0,0,0,0,0,0,1.4,0
"WEEK OF MAY 14, 2018 (B)",Adidas Shoe Store : Men & Women,1.1,0,0,0,0,0,0,1.1,0,0,0
"WEEK OF MAY 14, 2018 (B)",Adidas Sports Performance Store : Men & Women,1.1,0,0,0,0,0,0,1.1,0,0,0
"WEEK OF MAY 14, 2018 (B)",Adidas Warehouse : Men & Women,1.8,0,0,0,0,0,0,1.8,0,0,0
"WEEK OF MAY 21, 2018 (B)",ADIDAS FACTORY OUTLET : Family,1.4,0,0,0,0,0,0,0,0,1.4,0
"WEEK OF MAY 28, 2018 (B)",Adidas : Apparel,25.4,0,0,0,0,0,0,0,0,0,25.4
"WEEK OF MAY 28, 2018 (B)",Adidas : Footwear & RTW Men & Women,8.4,0,0,0,0,0,0,0,0,0,8.4
"WEEK OF MAY 28, 2018 (B)",ADIDAS AMERICA STORE,72.4,0,0,0,0,0,0,0,0,0,72.4
"WEEK OF MAY 28, 2018 (B)",ADIDAS FACTORY OUTLET : Family,0.8,0,0,0,0,0,0,0,0,0.8,0
"WEEK OF MAY 28, 2018 (B)",ADIDAS NBA SHOP : Online,5.1,0,0,0,0,0,0,0,0,0,5.1
"WEEK OF MAY 28, 2018 (B)",Adidas Shoe Store : Men & Women,19.5,0,0,0,0,0,0,0,0,0,19.5
"WEEK OF JUN 04, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,1057,1057,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 04, 2018 (B)",Big 3 Championship Game/Adidas : Sponsored Event,0.4,0,0,0.4,0,0,0,0,0,0,0
"WEEK OF JUN 11, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,1548.2,903.2,644.3,0.7,0,0,0,0,0,0,0
"WEEK OF JUN 11, 2018 (B)",Big 3 Championship Game/Adidas : Sponsored Event,0.5,0,0,0.5,0,0,0,0,0,0,0
"WEEK OF JUN 18, 2018 (B)",Adidas : Athleticwear & Sneakers Men & Women,326.8,326.8,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 18, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,3899.9,3257.4,642,0.5,0,0,0,0,0,0,0
"WEEK OF JUN 18, 2018 (B)",Big 3 Championship Game/Adidas : Sponsored Event,1.6,0,0,1.6,0,0,0,0,0,0,0
"WEEK OF JUN 25, 2018 (B)",Adidas : Apparel,51.6,0,0,0,0,0,0,0,0,0,51.6
"WEEK OF JUN 25, 2018 (B)",Adidas : Corporate Promotion,23.8,0,23.8,0,0,0,0,0,0,0,0
"WEEK OF JUN 25, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,2466.6,1753.8,712.8,0,0,0,0,0,0,0,0
"WEEK OF JUN 25, 2018 (B)",Adidas : Vignette,26.8,0,26.8,0,0,0,0,0,0,0,0
"WEEK OF JUN 25, 2018 (B)",ADIDAS AMERICA STORE,3.1,0,0,0,0,0,0,0,0,0,3.1
"WEEK OF JUN 25, 2018 (B)",ADIDAS FACTORY OUTLET : Family,0.4,0,0,0,0,0,0,0,0,0.4,0
"WEEK OF JUN 25, 2018 (B)",Adidas Palace : Headbands & Shirts Men,417,0,0,0,417,0,0,0,0,0,0
"WEEK OF JUN 25, 2018 (B)",Adidas Shoe Store : Men & Women,38.3,0,0,0,0,0,0,0,0,0,38.3
"WEEK OF JUN 25, 2018 (B)",Big 3 Championship Game/Adidas : Sponsored Event,2.8,0,0,2.8,0,0,0,0,0,0,0
"WEEK OF JUL 02, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,3272.2,3263.9,7.9,0.4,0,0,0,0,0,0,0
"WEEK OF JUL 02, 2018 (B)",ADIDAS FACTORY OUTLET : Family,2.5,0,0,0,0,0,0,0,0,2.5,0
"WEEK OF JUL 09, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,2437.4,2435.2,1.8,0.4,0,0,0,0,0,0,0
"WEEK OF JUL 09, 2018 (B)",ADIDAS FACTORY OUTLET : Family,2.5,0,0,0,0,0,0,0,0,2.5,0
"WEEK OF JUL 09, 2018 (B)",Big 3 Championship Game/Adidas : Sponsored Event,9.8,0,0,9.8,0,0,0,0,0,0,0
"WEEK OF JUL 16, 2018 (B)",Adidas : Sneakers & Sportswear Men & Women,2.4,0,2.4,0,0,0,0,0,0,0,0
"WEEK OF JUL 16, 2018 (B)",ADIDAS FACTORY OUTLET : Family,2.5,0,0,0,0,0,0,0,0,2.5,0
"WEEK OF JUL 16, 2018 (B)",Adidas Warehouse : Men & Women,0.5,0,0,0,0,0,0,0.5,0,0,0
"WEEK OF JUL 16, 2018 (B)",Big 3 Championship Game/Adidas : Sponsored Event,5.1,0,0,5.1,0,0,0,0,0,0,0
"WEEK OF JUL 23, 2018 (B)",ADIDAS FACTORY OUTLET : Family,2.5,0,0,0,0,0,0,0,0,2.5,0
"WEEK OF JUL 30, 2018 (B)",Adidas : Apparel,228.2,0,0,0,0,0,0,0,0,0,228.2
"WEEK OF JUL 30, 2018 (B)",ADIDAS AMERICA STORE,5.8,0,0,0,0,0,0,0,0,0,5.8
"WEEK OF JUL 30, 2018 (B)",ADIDAS FACTORY OUTLET : Family,0.7,0,0,0,0,0,0,0,0,0.7,0
"WEEK OF JUL 30, 2018 (B)",Adidas Shoe Store : Men & Women,13.5,0,0,0,0,0,0,0,0,0,13.5
"WEEK OF AUG 20, 2018 (B)",Adidas : Corporate Promotion,378.5,0,0,0,58,0,320.5,0,0,0,0
"WEEK OF AUG 27, 2018 (B)",Adidas : Apparel,175.9,0,0,0,0,0,0,0,0,0,175.9
"WEEK OF AUG 27, 2018 (B)",Adidas : Athleticwear & Sneakers Men & Women,0.6,0,0,0.6,0,0,0,0,0,0,0
"WEEK OF AUG 27, 2018 (B)",ADIDAS AMERICA STORE,93.5,0,0,0,0,0,0,0,0,0,93.5
"WEEK OF AUG 27, 2018 (B)",Adidas Shoe Store : Men & Women,25.9,0,0,0,0,0,0,0,0,0,25.9
"WEEK OF SEP 17, 2018 (B)",Adidas Yeezy Boost 350 V2 : Sneakers Men & Women,488.1,0,0,0,0,0,0,488.1,0,0,0
"WEEK OF OCT 01, 2018 (B)",Adidas : Apparel,118.6,0,0,0,0,0,0,0,0,0,118.6
"WEEK OF OCT 01, 2018 (B)",ADIDAS AMERICA STORE,15,0,0,0,0,0,0,0,0,0,15
"WEEK OF OCT 01, 2018 (B)",ADIDAS FACTORY OUTLET : Family,3.6,0,0,0,0,0,0,0,0,3.6,0
"WEEK OF OCT 01, 2018 (B)",Adidas Shoe Store : Men & Women,3.9,0,0,0,0,0,0,3.9,0,0,0
"WEEK OF OCT 01, 2018 (B)",Adidas Warehouse : Men & Women,0.8,0,0,0,0,0,0,0.8,0,0,0
